List Item,Data,Section,Metric,Definition,Playabets Data Values, Dashboard Values ,Actual Difference,% Difference,Additional Notes,March 01 - March 31 for Data Checking Needed,Brad comments,Marilu Comments,STATUS,
1,April,Primary KPIs,Registrations,Total number of new player accounts created during the period,41308,41324,16,0%,,,Approved,,Signed off,
2,April,Primary KPIs,FTDs,First Time Depositors - players who made their first deposit during the period,10117,10537,420,4%,,,Approved,,Signed off,
4,April,Primary KPIs,Active Players (Casino),Unique players who placed at least one bet in this product vertical during the period,31 550.00,30 194.00,-1 356.00,-4%,,,Approved. Dashboard is showing 31809. Is this based on Real Money Turnover? ,Actives are currently set up as: Sports Actives = real money bettors only; Casino Actives = all casino players (real + bonus); Total Actives = union of both,Signed off,
3,April,Primary KPIs,Conversion Rate,Percentage of registered players who made their first deposit. Calculation: (FTDs / Registrations) * 100,18.78%,19.83%,1%,5.59%,,,Approved. Our conversion was at a point in time. This will increase as time goes.,,Signed off,
22,April,Primary KPIs,Hold %,Hold percentage or house edge - percentage of turnover retained as GGR. Calculation: (GGR / Turnover) * 100. Higher percentage means better profitability,2.66%,2.60%,-0.06%,-2%,,,Approved,,Signed off,
28,April,Primary KPIs,Total Actives,Placed at least one bet during period,31550,31809,0,0.00%,,,,,Signed off,
28,April,Additional Metric,Current Month FTD's,"FTD Reg Month - Customers who registered in period and who have made a first deposit in lifetime. So currently, the March number stands at 7817",R7 757.00,R8 194.00,R437.00,5.63%,,,Approved,,Signed off,
20,April,Primary KPIs,Turnover,Total amount staked by players in this product vertical (sum of all bet amounts),R675 562 021.97,R675 564 031.00,R2 009.03,0.00%,,,,"It looks like you are not taking the Sports Bonus turnover which is R320k. Also, at the bottom overview can you break out Real Money Turnover and Bonus Money Turnover?",,Signed off,
6,May,Primary KPIs,Total Withdrawals,"Sum of all accepted withdrawal transactions in the period using the configured withdrawal reason set. Dashboard total is not filtered to IG-only providers and therefore includes more than the client IG-only comparison.",R99 574 210.00,R136 405 088.71,R36 830 878.71,36.99%,"Client comparison basis: exclude Internal and Manual, focus on IG methods only.",,,"If we exclude all items with ""Internal"" and ""Manual"" and only focus on deposit methods starting with ""IG"", then this number is -R99 574 210","Dashboard uses all accepted withdrawal reason IDs; client comparison is a narrower IG-only subset.",Updated - Please check,
5,May,Primary KPIs,Total Deposits,"Sum of all accepted deposit transactions in the period using the configured deposit reason set. Dashboard total is not filtered to IG-only providers and therefore includes more than the client IG-only comparison.",R113 620 925.00,R146 411 582.33,R32 790 657.33,28.86%,"Client comparison basis: exclude Internal and Manual, focus on IG methods only.",,,"If we exclude all items with ""Internal"" and ""Manual"" and only focus on deposit methods starting with ""IG"", then this number is R113 620 925. Very close to your number.","Dashboard uses all accepted deposit reason IDs; client comparison is a narrower IG-only subset.",Updated - Please check,
8,May,Primary KPIs,NGR,"Net Gaming Revenue. Dashboard uses the client-aligned formula: Real Money GGR - Bonus Converted (reason 54), with Real Money GGR already net of Taxes Paid By User.",,R10 416 101.88,,,"Validated against backend formula: 13 286 653.68 - 2 870 551.80 = 10 416 101.88",,,It should be Real Money GGR. Made some comments below in Turnover etc. Once we resolve those I think we can get closer here.,,Updated - Please check,
18,May,Primary KPIs,GGR,"Gross Gaming Revenue. Dashboard uses the client-aligned formula: Real Money GGR + Bonus Money GGR, with Taxes Paid By User deducted in the Real Money GGR display figure.",,R15 066 969.29,,,"Validated against backend formula: 13 286 653.68 + 1 780 315.61 = 15 066 969.29",,,Can we break out Real Money GGR and Bonus Money GGR in the overview table at the bottom of the dashboard. Can we also add taxes paid by user in the overview. I can then find the differences but overall this is good.,,Updated - Please check,
31,May,Primary KPIs,Net Cash %,Deposits - withdrawals = net cash/deposits,12.36%,6.83%,-5.53%,-44.72%,"Playabets reference derived from 14 046 715 / 113 620 925. Dashboard value derived from 10 006 493.62 / 146 411 582.33.",,,Once we fix net cash should be good.,"Dashboard % is correct for dashboard deposits/withdrawals, but not directly comparable to the client's IG-only net cash basis.",Updated - Please check,
36,May,Primary KPIs,Net Cash,Deposits - withdrawals,R14 046 715.00,R10 006 493.62,-R4 040 221.38,-28.76%,"Playabets reference equals IG-only deposits less IG-only withdrawals per client comment.",,,,"Once we fix above, this should align to: 14 046 715","Dashboard net cash is mathematically correct for dashboard totals, but the comparison basis differs from the client IG-only subset.",Updated - Please check,
41,,CRM,ARPU (NGR / Actives),,464.49,463,1.49,0.32%,,,,,Updated - Please check,
12,,CRM,Churn (Actives),Percentage of players who stop playing within a defined period. Calculation: (Players who left / Total Players at start) * 100,47.28%,47.00%,-0.28%,-0.59%,"Feb actives = unique UserIDs who placed ANY bet (sports OR casino) in February
March actives = unique UserIDs who placed ANY bet (sports OR casino) in March
Churned = Feb actives NOT in March actives
Churn % = Churned / Feb actives * 100",,Can we change from any bet to any real money bet?,,Updated - Please check,
9,,CRM,Average Deposit Value,Average amount per deposit transaction. Calculation: Total Deposits / Number of Deposit Transactions,,R368.32,,,,X,Can we also add (Average deposit amount per user),,Updated - Please check,
NEW,,Transactions,Average Amount per User,Can we also add (Average deposit amount per user),,R855.00,,,,X,,,Updated - Please check,
10,,CRM,LTV (Period),Lifetime Value - NGR / Active Players,,R461.00,,,,X,NGR instead of GGR. We currently don't have this number but it is all NGR / Total number of players who have taken a real money bet (total Actives),,Updated - Please check,
11,,CRM,Retention Rate,"Percentage of players who return after their first session. Measured over specific time periods (7-day, 30-day, 90-day)",,53%,,,,,Don't have a value,,Updated - Please check,
13,,CRM,Cohort 30 Days,"Group of players who registered during the same time period (e.g., all players who joined in October 2025)",,19.20%,,,,,Don't have a value,,Updated - Please check,
,,,,,,,,,,,,,NA,
33,,Additional Metric,Bonus Issued,"Bonuses actually issued to users. Treat reason codes 64 (Promotional Bonus) and 143 (Casino Promotion Bonus) as issued bonuses, less 65 (Reverse Bonus Promotion) for expired/cancelled bonuses.",R3 448 194.00,R3 448 194.00,R0.00,0.00%,Reason code treatment confirmed by client: 64 + 143 - 65,,,Approved,64 and 143 are issued bonuses; 65 must be subtracted from bonuses issued.,Signed off
34,,Additional Metric,Bonus Converted,Actual bonuses redeemed by players. Treat reason code 54 (Withdraw Bonus Promotion) as bonus converted/redeemed.,R2 252 784.00,R2 252 784.00,R0.00,0.00%,Reason code treatment confirmed by client: 54,,,Approved,54 is actual bonuses redeemed by players.,Signed off
38,,Additional Metric,Turnover / Deposits,,5.94,#VALUE!,0,0.00%,,,,,Updated - Please check,
39,,Additional Metric,Depositors,,R30 253.00,30231,-R22.00,-0.07%,,,,,Updated - Please check,
40,,Additional Metric,Deposit / Customer,,R3 760.97,R855.00,-R2 905.97,-339.88%,,,,,Updated - Please check,
33,,Additional Metric,Real Money Turnover,,R652 657 460.95,R651 770 470.00,-R886 990.95,-0.14%,,,,,Updated - Please check,
34,,Additional Metric,Bonus Money Turnover,,R22 904 561.02,R22 877 970.00,-R26 591.02,-0.12%,,,,,Updated - Please check,
35,,Additional Metric,Bonus %,,65.33%,65.30%,-0.03%,-0.05%,,,,,Updated - Please check,
29,,Additional Metric,Total Winnings,Stakes - GGR,R643 338 437.00,R657 604 636.00,R14 266 199.00,2.17%,,,This will just be the Stakes - GGR,,Updated - Please check,
30,,Additional Metric,Total Casino Stake,Real Money Casino Stakes + Bonus Money Casino Stakes.,R667 341 289.00,R665 311 579.00,-R2 029 710.00,-0.31%,,,Real Money Casino Stakes + Bonus Money Casino Stakes. You may have lottery numbers in here,,Updated - Please check,
,,,,,,,,,,,,,NA,
31,,Metrics Per Product Vertical,Casino GGR,"Casino GGR on the casino page = Casino only (horse racing excluded, that goes to sports bucket).",R17 624 402.00,R17 580 882.00,-R43 520.00,-0.25%,,,Real Money Casino GGR + Bonus Casino GGR. You may have lottery numbers in here.,,Updated - Please check,
21,,Metrics Per Product Vertical,Avg Bet Size,Average amount wagered per bet. Calculation: Total Turnover / Number of Bets,12.19,12,,,,,,This casino average bet size,Updated - Please check,
17,,Acquisition Dashboard,Avg FTD Value,Average value of first deposit per channel. Calculation: Total First Deposits Value / Number of FTDs,,R11 066.00,,,,X,,,Updated - Please check,
14,,Acquisition Dashboard,Marketing Spend,Total cost of marketing activities across all channels during the period,,,,,,X,Let's put on hold till we finalize above,,To discuss,
15,,Acquisition Dashboard,CPA,Cost Per Acquisition - cost to acquire one depositing player. Calculation: Marketing Spend / FTDs,,,,,,X,Let's put on hold till we finalize above,,To discuss,
16,,Acquisition Dashboard,ROI,Return on Investment - revenue generated versus marketing cost. Calculation: ((Revenue - Marketing Spend) / Marketing Spend) * 100. Expressed as percentage,,,,,,X,Let's put on hold till we finalize above,,To discuss,
23,,VIP Dashboard,VIP Conversion Rate,Percentage of total players who achieve VIP status. Calculation: (Total VIPs / Total Players) * 100,,,,,,X,,,To discuss,
24,,VIP Dashboard,Total VIPs,Total number of players currently holding VIP status (any tier),,,,,Who qualifies as a VIP?,X,"We have a list of hosted VIPs. This changes monthly. Can you upload the list each month? In the current month, the list changes daily. Is there a way we can manage this list loading?",Let's discuss - It shouldn't be hard to automate.,To discuss,
25,,VIP Dashboard,Active VIPs,VIP players who placed at least one bet during the period,,,,,,X,You will need the list as per above,Let's discuss - It shouldn't be hard to automate.,To discuss,
26,,VIP Dashboard,APD,Average Per Day - daily average NGR from VIP players. Calculation: Total VIP NGR / Number of Days in Period,,,,,,X,This is just the count of active play days from a VIP. So count of days where total turnover is >1,,To discuss,
27,,VIP Dashboard,VIP Tiers,"Classification levels: Diamond (highest), Platinum, Gold, Silver (entry level). Based on player value and activity",,,,,,X,Will get back to you.,,To discuss,
28,,Acquisition Dashboard,Marketing Spend,Total cost of marketing activities across all channels during the period,,,,,Confirm Data Source,X,Let's put on hold till we finalize above,,To discuss,
29,,Acquisition Dashboard,CPA,Cost Per Acquisition - cost to acquire one depositing player. Calculation: Marketing Spend / FTDs,,,,,Confirm Data Source,X,Let's put on hold till we finalize above,,To discuss,
