User ID,RFM Segment,Risk Tier,Composite Risk Score,FC Score (Financial Capacity),BIL Score (Behavioral Intensity),OI Score (Outcome Instability),Sports Bets (30d),Casino Bets (30d),Sessions (30d),Net Cashflow (30d),Current Balance,Lifetime Deposits,Lifetime Withdrawals,Loss Rate (30d),Max Losing Streak (30d),Bonus Stake Ratio,Self-Exclusion Flag,Days Since Last Activity,Monetary Value (30d),Last Activity Date
5285210,VIP,Critical,0.7964,0,1,1,1,15100,63,-16007,0.08,226676,258085,1,1,1,0,0,152928.64,20:17.2
5094474,VIP,Critical,0.7899,0.0085,1,0.9706,6,7968,10,-7469,0.56,77028,76482,0.5,3,0.3064,0,1,88571.17,00:00.0
5127165,VIP,Critical,0.7888,0,1,1,14,5854,30,-9734,0.11,403194,366375,1,5,1,0,0,41208.6,31:42.2
5038011,VIP,Critical,0.7862,0,1,1,15,5728,8,-12400,0.2682,27145,32900,0.9333,8,0,0,0,20594.85,52:46.6
365937,VIP,Critical,0.7833,0,0.9823,1,7,5560,6,-11230,0.07,128250,141150,1,7,0.9662,0,1,31295.2,51:57.0
574781,VIP,Critical,0.7832,0,1,1,4,16425,10,-8160,0.2851,2687470,2911810,0.5,1,0,0,0,1636718.1,45:00.1
5324935,VIP,Critical,0.7788,0,1,1,28,11645,10,-17296,0.0385,410084,513250,0.9286,20,0.0957,0,0,175119.8,12:24.0
527587,VIP,Critical,0.7788,0,1,1,20,21740,2,-6480,0.12,43606,50438,0.8421,9,0.0088,0,0,28311.95,15:37.8
5084721,VIP,Critical,0.7782,0,1,1,8,666,25,-656,0.04,249224,248488,0.75,6,0.9243,0,1,164197.6,30:00.4
5156798,VIP,Critical,0.778,0,1,1,1,2256,7,-2450,0.04,27750,44000,1,1,1,0,0,19193.9,03:35.5
5234352,VIP,Critical,0.7755,0,0.9598,1,1,6346,7,-11570,0.16,7710,18500,1,1,0,0,0,35578.5,14:48.1
5308229,VIP,Critical,0.7742,0,1,1,4,8373,11,-527,0.09,20182,18500,0.75,3,0,0,1,3421.2,32:23.6
5155152,VIP,Critical,0.7723,0,0.9657,1,1,2464,7,-3076,0.01,8664,11200,0,0,0,0,0,12111.6,42:17.4
5134210,VIP,Critical,0.7701,0.0146,1,1,10,2994,28,-1269.72,0.64,80388.7,62102,0.9,8,1,0,1,64184.15,18:25.8
5091297,VIP,Critical,0.7691,0,0.9463,1,1,9730,6,-3150,0.25,58250,61400,1,1,1,0,3,256784.3,00:00.0
5133903,VIP,Critical,0.7681,0,1,1,17,21336,5,-4420,0.16,11330,14000,1,6,1,0,1,36160.55,48:46.6
5097233,VIP,Critical,0.7656,0,1,1,2,3059,9,-1183,0.0484,127217,202481,0.5,1,0,0,3,8486.64,46:02.2
5404768,VIP,Critical,0.7654,0,0.8699,1,16,10968,2,-14875,0,41731,55250,0.9231,11,0.9565,0,1,55628.41,30:50.6
5044749,VIP,Critical,0.7649,0,1,0.9135,5,19581,34,-11526,0.07,98115,102213,1,5,0.6641,1,1,49406.2,00:00.0
5266492,VIP,Critical,0.7627,0,1,1,2,14685,16,-3260,0.05,39420,17000,1,1,1,0,0,64097.8,38:30.4
5273169,VIP,Critical,0.7612,0,1,0.9266,3,2350,27,-1430,0.17,8578,9700,1,3,0,0,0,3081.5,04:45.8
46195,VIP,Critical,0.7612,0,1,0.9424,1,15036,38,-11699,0.15,27093,37350,1,1,0,0,0,55730.4,29:10.2
580614,VIP,Critical,0.761,0,1,1,10,44459,38,-2429,0.14,38408,45285,0.8,4,0.0455,0,2,21541.65,11:37.1
558985,VIP,Critical,0.759,0,1,1,5,7022,14,-100,0.1901,5000,5500,1,5,0,0,0,3633.34,36:00.6
5284871,VIP,Critical,0.7566,0,0.9808,1,17,5121,11,-4455,0.1,163629,193450,0.9412,15,0.8843,0,1,113816.74,00:00.0
5197504,VIP,Critical,0.7561,0,0.9067,1,6,5355,12,-590,0.19,8810,7560,0.5,3,0.9226,1,3,16593.63,53:32.3
194421,VIP,Critical,0.7541,0,0.9788,1,3,15632,2,-2392,0.19,15267,27550,0.5,1,0,0,1,7374.74,35:50.3
5014525,VIP,Critical,0.753,0,0.8516,1,1,2926,6,-1158,0.2,12377,14300,1,1,0,0,2,6666.3,00:00.0
