,User ID,RFM Segment,Risk Tier,Composite Risk Score,FC Score (Financial Capacity),BIL Score (Behavioral Intensity),OI Score (Outcome Instability),Sports Bets (30d),Casino Bets (30d),Sessions (30d),Net Cashflow (30d),Current Balance,Lifetime Deposits,Lifetime Withdrawals,Loss Rate (30d),Max Losing Streak (30d),Bonus Stake Ratio,Self-Exclusion Flag,Days Since Last Activity,Monetary Value (30d),Last Activity Date
0,5285210,VIP,Critical,0.7964,0.0,1.0,1.0,1,15100,63,-16007.0,0.08,226676.0,258085.0,1.0,1.0,1.0,0,0,152928.63999999998,2026-05-19 13:20:17.173
1,5094474,VIP,Critical,0.7899,0.0085,1.0,0.9706,6,7968,10,-7469.0,0.56,77028.0,76482.0,0.5,3.0,0.3064,0,1,88571.17,2026-05-18 00:00:00.000
2,5127165,VIP,Critical,0.7888,0.0,1.0,1.0,14,5854,30,-9734.0,0.11,403194.0,366375.0,1.0,5.0,1.0,0,0,41208.6,2026-05-19 14:31:42.193
3,5038011,VIP,Critical,0.7862,0.0,1.0,1.0,15,5728,8,-12400.0,0.2682,27145.0,32900.0,0.9333,8.0,0.0,0,0,20594.85,2026-05-19 08:52:46.563
4,365937,VIP,Critical,0.7833,0.0,0.9823,1.0,7,5560,6,-11230.0,0.07,128250.0,141150.0,1.0,7.0,0.9662,0,1,31295.2,2026-05-18 09:51:56.980
5,574781,VIP,Critical,0.7832,0.0,1.0,1.0,4,16425,10,-8160.0,0.2851,2687470.0,2911810.0,0.5,1.0,0.0,0,0,1636718.1,2026-05-19 08:45:00.120
6,5324935,VIP,Critical,0.7788,0.0,1.0,1.0,28,11645,10,-17296.0,0.0385,410084.0,513250.0,0.9286,20.0,0.0957,0,0,175119.8,2026-05-19 09:12:23.970
7,527587,VIP,Critical,0.7788,0.0,1.0,1.0,20,21740,2,-6480.0,0.12,43606.0,50438.0,0.8421,9.0,0.0088,0,0,28311.95,2026-05-19 10:15:37.800
8,5084721,VIP,Critical,0.7782,0.0,1.0,1.0,8,666,25,-656.0,0.04,249224.0,248488.0,0.75,6.0,0.9243,0,1,164197.6,2026-05-18 17:30:00.400
9,5156798,VIP,Critical,0.778,0.0,1.0,1.0,1,2256,7,-2450.0,0.04,27750.0,44000.0,1.0,1.0,1.0,0,0,19193.9,2026-05-19 08:03:35.460
10,5234352,VIP,Critical,0.7755,0.0,0.9598,1.0,1,6346,7,-11570.0,0.16,7710.0,18500.0,1.0,1.0,0.0,0,0,35578.5,2026-05-19 13:14:48.120
11,5308229,VIP,Critical,0.7742,0.0,1.0,1.0,4,8373,11,-527.0,0.09,20182.0,18500.0,0.75,3.0,0.0,0,1,3421.2,2026-05-18 10:32:23.563
12,5155152,VIP,Critical,0.7723,0.0,0.9657,1.0,1,2464,7,-3076.0,0.01,8664.0,11200.0,0.0,0.0,0.0,0,0,12111.599999999999,2026-05-19 09:42:17.380
13,5134210,VIP,Critical,0.7701,0.0146,1.0,1.0,10,2994,28,-1269.7199999999998,0.64,80388.7,62102.0,0.9,8.0,1.0,0,1,64184.15,2026-05-18 12:18:25.847
14,5091297,VIP,Critical,0.7691,0.0,0.9463,1.0,1,9730,6,-3150.0,0.25,58250.0,61400.0,1.0,1.0,1.0,0,3,256784.30000000002,2026-05-16 00:00:00.000
15,5133903,VIP,Critical,0.7681,0.0,1.0,1.0,17,21336,5,-4420.0,0.16,11330.0,14000.0,1.0,6.0,1.0,0,1,36160.55,2026-05-18 18:48:46.590
16,5097233,VIP,Critical,0.7656,0.0,1.0,1.0,2,3059,9,-1183.0,0.0484,127217.0,202481.0,0.5,1.0,0.0,0,3,8486.64,2026-05-16 15:46:02.163
17,5404768,VIP,Critical,0.7654,0.0,0.8699,1.0,16,10968,2,-14875.0,0.0,41731.0,55250.0,0.9231,11.0,0.9565,0,1,55628.409999999996,2026-05-18 12:30:50.590
18,5044749,VIP,Critical,0.7649,0.0,1.0,0.9135,5,19581,34,-11526.0,0.07,98115.0,102213.0,1.0,5.0,0.6641,1,1,49406.2,2026-05-18 00:00:00.000
19,5266492,VIP,Critical,0.7627,0.0,1.0,1.0,2,14685,16,-3260.0,0.05,39420.0,17000.0,1.0,1.0,1.0,0,0,64097.8,2026-05-19 14:38:30.420
20,5273169,VIP,Critical,0.7612,0.0,1.0,0.9266,3,2350,27,-1430.0,0.17,8578.0,9700.0,1.0,3.0,0.0,0,0,3081.5,2026-05-19 07:04:45.777
21,46195,VIP,Critical,0.7612,0.0,1.0,0.9424,1,15036,38,-11699.0,0.15,27093.0,37350.0,1.0,1.0,0.0,0,0,55730.4,2026-05-19 08:29:10.230
22,580614,VIP,Critical,0.761,0.0,1.0,1.0,10,44459,38,-2429.0,0.14,38408.0,45285.0,0.8,4.0,0.0455,0,2,21541.65,2026-05-17 14:11:37.150
23,558985,VIP,Critical,0.759,0.0,1.0,1.0,5,7022,14,-100.0,0.1901,5000.0,5500.0,1.0,5.0,0.0,0,0,3633.34,2026-05-19 11:36:00.553
24,5284871,VIP,Critical,0.7566,0.0,0.9808,1.0,17,5121,11,-4455.0,0.1,163629.0,193450.0,0.9412,15.0,0.8843,0,1,113816.74,2026-05-18 00:00:00.000
25,5197504,VIP,Critical,0.7561,0.0,0.9067,1.0,6,5355,12,-590.0,0.19,8810.0,7560.0,0.5,3.0,0.9226,1,3,16593.629999999997,2026-05-16 17:53:32.270
