User ID,Account Manager,VIP Lifecycle Stage,Onboard Date
251649,Pearl,Hosted VIP,11/09/2024
36900,Pearl,Hosted VIP,11/09/2024
14354,Pearl,Hosted VIP,11/09/2024
389800,Pearl,Hosted VIP,11/09/2024
121707,Pearl,Hosted VIP,11/09/2024
35541,Pearl,Hosted VIP,11/09/2024
14773,Pearl,Hosted VIP,11/09/2024
13366,Pearl,Hosted VIP,11/09/2024
408360,Pearl,Hosted VIP,11/09/2024
421223,Pearl,Hosted VIP,30/09/2024
185239,Pearl,Hosted VIP,30/09/2024
104032,Pearl,Hosted VIP,31/03/2025
357109,Pearl,Hosted VIP,14/02/2025
53399,Pearl,Hosted VIP,14/02/2025
5013132,Pearl,Hosted VIP,14/02/2025
367465,Pearl,Hosted VIP,26/02/2025
164785,Pearl,Hosted VIP,26/02/2025
52378,Pearl,Hosted VIP,05/03/2025
402793,Pearl,Hosted VIP,19/03/2025
85982,Pearl,Hosted VIP,19/03/2025
405682,Pearl,Hosted VIP,19/03/2025
447202,Pearl,Hosted VIP,08/04/2025
5201201,Pearl,Hosted VIP,04/11/2025
5134865,Pearl,Hosted VIP,20/10/2025
6263,Pearl,Hosted VIP,28/11/2025
5128339,Pearl,Hosted VIP,22/01/2026
5136437,Pearl,Hosted VIP,11/02/2026
5083535,Pearl,Hosted VIP,18/02/2026
579188,Pearl,Hosted VIP,08/04/2025
5056109,Pearl,Hosted VIP,09/04/2025
5039426,Pearl,Hosted VIP,09/04/2025
57539,Pearl,Hosted VIP,09/04/2025
653338,Pearl,Hosted VIP,09/04/2025
539070,Pearl,Hosted VIP,09/04/2025
478205,Pearl,Hosted VIP,15/04/2025
5127311,Pearl,Hosted VIP,24/07/2025
5130242,Pearl,Hosted VIP,28/07/2025
655744,Pearl,Hosted VIP,30/07/2025
5082470,Pearl,Hosted VIP,31/07/2025
5145253,Pearl,Hosted VIP,11/08/2025
5144826,Pearl,Hosted VIP,12/08/2025
5149410,Pearl,Hosted VIP,15/08/2025
5147617,Pearl,Hosted VIP,18/08/2025
5145222,Pearl,Hosted VIP,19/08/2025
2810,Pearl,Hosted VIP,26/08/2025
5093761,Pearl,Hosted VIP,01/08/2025
571659,Pearl,Hosted VIP,01/09/2025
5136603,Pearl,Hosted VIP,12/09/2025
5085620,Pearl,Hosted VIP,12/09/2025
5053423,Pearl,Hosted VIP,17/09/2025
288445,Pearl,Hosted VIP,17/09/2025
5138106,Pearl,Hosted VIP,22/09/2025
5103594,Pearl,Hosted VIP,28/09/2025
11330,Pearl,Hosted VIP,20/10/2025
362248,Pearl,Hosted VIP,20/10/2025
5136206,Pearl,Hosted VIP,26/09/2025
5184725,Pearl,Hosted VIP,27/10/2025
75366,Pearl,Hosted VIP,11/09/2024
203930,Pearl,Hosted VIP,10/11/2025
5126938,Pearl,Hosted VIP,27/11/2025
5122031,Pearl,Hosted VIP,12/01/2025
353176,Pearl,Hosted VIP,12/03/2025
5143094,Pearl,Hosted VIP,08/08/2025
5250208,Pearl,Hosted VIP,10/12/2025
5180862,Pearl,Hosted VIP,17/12/2025
5076414,Pearl,Hosted VIP,17/12/2025
5154523,Pearl,Hosted VIP,18/12/2025
5151568,Pearl,Hosted VIP,16/12/2025
5211516,Pearl,Hosted VIP,22/12/2025
5219034,Pearl,Hosted VIP,24/12/2025
5227927,Pearl,Hosted VIP,01/01/2026
5138579,Pearl,Hosted VIP,01/02/2026
5093947,Pearl,Hosted VIP,31/12/2025
5181435,Pearl,Hosted VIP,02/01/2026
5080437,Pearl,Hosted VIP,07/01/2026
5295664,Pearl,Hosted VIP,12/01/2026
5131560,Pearl,Hosted VIP,28/07/2025
5083199,Pearl,Hosted VIP,16/01/2026
5129167,Pearl,Hosted VIP,19/01/2026
226005,Pearl,Hosted VIP,27/01/2026
376665,Pearl,Hosted VIP,27/01/2026
5307707,Pearl,Hosted VIP,19/01/2026
5192437,Pearl,Hosted VIP,25/01/2026
5305555,Pearl,Hosted VIP,25/01/2026
5155189,Pearl,Hosted VIP,29/01/2026
5031463,Pearl,Hosted VIP,01/02/2026
5271026,Pearl,Hosted VIP,02/02/2026
5307503,Pearl,Hosted VIP,24/01/2026
5188540,Pearl,Hosted VIP,05/02/2026
5114740,Pearl,Hosted VIP,05/02/2026
5327835,Pearl,Hosted VIP,06/02/2026
5123380,Pearl,Hosted VIP,09/02/2026
5308903,Pearl,Hosted VIP,09/02/2026
5154776,Pearl,Hosted VIP,17/11/2025
5079607,Pearl,Hosted VIP,13/02/2026
5253312,Pearl,Hosted VIP,16/02/2026
5151729,Pearl,Hosted VIP,17/02/2026
